N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Down,Neutral,WeakUp,Down,Down,VeryWet,Wet,,Wet,PC,Cloudy,Cloudy,Cloudy,,,StrongWest,,,,,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul16_Aug10,H,CThruK,PartInhibit,LessThanAve,MoreThanAve,H,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,HI,,Weak,Moderate,H,SVR,,SIG,LowMtsHighPl,ModerateOrLe,,ModerateOrLe,MarkedUpper,DryMMoistL,,SigNegative,,NWQuad,Westerly,SEQuad
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,,VeryWet,Neutral,Wet,Clear,PC,Clear,PC,Weak,Weak,DCVZFavor,,Weak,Weak,,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul2_Jul15,B,AB,,LessThanAve,MoreThanAve,ABI,N5GtLIGt_8,Neutral,Average,Average,B,PartInhibit,Moderate,Slight,B,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,,Steep,OtherRapid,MoistMDryL,,LittleChange,Other,NWQuad,LVorOther,SEQuad
StrongUp,WeakUp,WeakUp,StrongUp,StrongUp,VeryWet,VeryWet,VeryWet,VeryWet,PC,,Clear,Clear,Strong,,Other,,Strong,Strong,,DecCapIncIns,Decreasing,Neutral,Decreasing,SVR,Jul16_Aug10,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,Average,D,,Weak,,D,SIG,SIG,SVR,LowAtStation,Steep,Average,Steep,MarkedUpper,Other,,SigNegative,,NWQuad,LVorOther,SEQuad
StrongUp,Down,StrongUp,StrongUp,StrongUp,Dry,Neutral,VeryWet,VeryWet,PC,PC,Cloudy,Cloudy,Weak,Weak,Westerly,,,,,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Aug20_Sep15,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,HI,,Moderate,Moderate,I,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,StrongFront,DryMMoistL,E_W_S,PosToNeg,QStationary,LV,Westerly,LV
Down,Down,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,Clear,Clear,Clear,Clear,Weak,Strong,Other,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,,SIG,Jul16_Aug10,C,,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,,Moderate,Strong,C,SIG,SIG,SIG,LowMtsHighPl,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,E_W_N,LittleChange,Other,NWQuad,Westerly,LongAnticyc
Down,Neutral,WeakUp,Down,Down,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,Clear,Strong,Strong,Westerly,Strong,,Weak,Some,LittleChange,LittleChange,Neutral,,SIG,Jul2_Jul15,C,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Neutral,Average,Average,ACEFK,,Moderate,Moderate,C,SVR,SVR,SVR,LowEvrywhere,Steep,VeryMoist,Steep,MarkedUpper,MoistMDryL,E_W_N,SigPositive,Other,NWQuad,Westerly,LongAnticyc
WeakUp,Neutral,Down,Neutral,Neutral,Dry,Wet,Dry,Dry,Clear,Cloudy,PC,PC,,,Westerly,,Strong,Weak,,LittleChange,LittleChange,WeakPos,Decreasing,XNIL,Aug20_Sep15,J,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,Average,,GJ,Stifling,Weak,,J,XNIL,XNIL,XNIL,LowNHighS,ModerateOrLe,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,,,LVorOther,LongAnticyc
StrongUp,WeakUp,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Neutral,PC,PC,PC,PC,Strong,Strong,Westerly,,Weak,,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,Aug20_Sep15,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,Average,ACEFK,PartInhibit,Weak,Slight,C,SIG,SIG,SVR,LowEvrywhere,Steep,,,MarkedUpper,Other,E_W_N,NegToPos,Other,AllElse,Westerly,LongAnticyc
WeakUp,Neutral,Down,Neutral,Neutral,Wet,Neutral,VeryWet,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,,Weak,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jun15_Jul1,E,CThruK,PartInhibit,MoreThanAve,LessThanAve,CDEJ,LIGt0,Instability,MoreUnstable,Average,ACEFK,,Moderate,Strong,E,SVR,SVR,SVR,LowSHighN,CloseToDryAd,Average,Steep,OtherRapid,MoistMDryL,MovingFtorOt,SigNegative,,SWQuad,Westerly,LV
Down,,Neutral,Neutral,Neutral,Neutral,Dry,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,Other,,,,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Instability,LessUnstable,Average,D,PartInhibit,Moderate,Moderate,D,XNIL,XNIL,SIG,,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,Other,,SigPositive,QStationary,SWQuad,Westerly,WidespdDnsl
